(-38.89,0.00)
(-33.33,9.62)
(-27.78,0.00)
(-16.67,0.00)
(-11.11,9.62)
(-16.67,19.25)
(-5.56,19.25)
(0.00,28.87)
(5.56,19.25)
(16.67,19.25)
(11.11,9.62)
(16.67,-0.00)
(27.78,-0.00)
(33.33,9.62)
(38.89,-0.00)
(50.00,-0.00)
(44.44,-9.62)
(50.00,-19.25)
(38.89,-19.25)
(33.33,-28.87)
(38.89,-38.49)
(50.00,-38.49)
(44.44,-48.11)
(50.00,-57.74)
(38.89,-57.74)
(33.33,-67.36)
(27.78,-57.74)
(16.67,-57.74)
(11.11,-67.36)
(16.67,-76.98)
(5.56,-76.98)
(0.00,-86.60)
(-5.56,-76.98)
(-16.67,-76.98)
(-11.11,-67.36)
(-16.67,-57.74)
(-27.78,-57.74)
(-33.33,-67.36)
(-38.89,-57.74)
(-50.00,-57.74)
(-44.44,-48.11)
(-50.00,-38.49)
(-38.89,-38.49)
(-33.33,-28.87)
(-38.89,-19.25)
(-50.00,-19.25)
(-44.44,-9.62)
(-50.00,-0.00)
